id,name,countries,status,regions,websites
9500158d05fca882eccd57e2599bae24924f197d,Outdoorski Bergschenhoek,Netherlands,operating,South Holland,https://outdoorvalleywintersport.nl/
f61fb85966c2582e3e1cd46319989daf9cf90ac1,Wildewiese,Germany,operating,North Rhine-Westphalia,https://www.wildewiese.de/
e587928ea763f20b3232a5069c5d2438d09b6908,Serfaus Fiss Ladis,Austria,operating,Tyrol,https://www.serfaus-fiss-ladis.at/de/winter
d3d69f021189f84fe11396cd2078f905ebd0beb9,Abondance,France,operating,Haute-Savoie,https://www.portesdusoleil.com/
403c8d67ddd348bfa3f7d02c6c21163479964926,Parsenn,Switzerland,operating,Graubunden,
a9bc7e690b8734471bca9b68302311b839f5369b,Skigebiet Arnsberglifte,Germany,operating,Bavaria,https://www.arnsberglifte.de
f6bd4222e297e614f61284c0b8bed442dd7bad3b,Rinerhorn,Switzerland,operating,Graubunden,
aa87548d9445d366123e7ef7aee40af9d4a78dff,Les Portes du Mont-Blanc,France,operating,Haute-Savoie;Savoie,https://www.lesportesdumontblanc.fr/
fea767bea99cf55ec9f8d38639d9f916bab9c9cd,Serlesbahnen,Austria,operating,Tyrol,https://www.stubai.at/skigebiete/serlesbahnen/
8ba91e97233bc526702e679b13a0ce110bad3f6a,"Schöneben - Belpiano, Schöneben",Italy,operating,Bolzano/Bozen,https://www.schoeneben.it/
f47f7e05cc676b25b6a00f77f0b86a897f03018c,La Plagne,France,operating,Savoie,https://paradiski.com/
ea9dfe26da36c33e8cf007b22b628c153ac69ab4,Les Houches - Saint-Gervais,France,operating,Haute-Savoie,https://www.leshouches.com/
66e1d0ae483a9bd09595416815d2a6cecfede47f,Glungezer,Austria,operating,Tyrol,https://www.glungezerbahn.at/
c2744b18-2f8f-40fe-89ac-c98db2eec375,,Finland,operating,Northern Ostrobothnia,
eeb2093cd64adef211261520c569179894373a74,Skiarena,Switzerland,operating,Graubunden;Uri,https://www.andermatt-sedrun-disentis.ch
